text,fallacy_type,taxonomy_group,clean_text
the following is an example of...,faulty generalization,Presumption Fallacy,following example
"While I think most people shouldn't be allowed to falsely claim they need a support animal on airplanes, I really do need my dog to calm me down. It's not my fault my doctor won't give me authorization.",intentional,Clarity Fallacy,think people shouldnt allowed falsely claim need support animal airplane really need dog calm fault doctor wont give authorization
"""Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity"" SHOWS evidence of what fallacy?",ad populum,Relevance Fallacy,everyone us social medium fundraise therefore there problem asking money social medium site long going charity show evidence fallacy
Cell phones stop students from concentrating in class because they are distracting.,circular reasoning,Presumption Fallacy,cell phone stop student concentrating class distracting
"Person #1: We need to start high school later in the morning.
Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension,Clarity Fallacy,person need start high school later morning person oh think sleep noon school get dark
"""You asked me why the unemployment rate has increased once more, but I'm going to tell you what has an even worse effect on morale in this country.""",fallacy of relevance,Relevance Fallacy,asked unemployment rate increased im going tell even worse effect morale country
People who read are smart.,faulty generalization,Presumption Fallacy,people read smart
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",ad hominem,Relevance Fallacy,born catholic parent raised catholic confirmation th grade therefore bound want defend catholic tradition therefore taken seriously
"Pvt. Joe Bowers: What are these electrolytes? Do you even know?
Secretary of State: They're... what they use to make Brawndo!
Pvt. Joe Bowers: But why do they use them to make Brawndo?
Secretary of Defense: [raises hand after a pause] Because Brawndo's got electrolytes.",circular reasoning,Presumption Fallacy,pvt joe bower electrolyte even know secretary state theyre use make brawndo pvt joe bower use make brawndo secretary defense raise hand pause brawndos got electrolyte
"All Greek food causes illness;  when I traveled through Greece, I got food  poisoning.",faulty generalization,Presumption Fallacy,greek food cause illness traveled greece got food poisoning
"“I really deserve an “A” on this paper, professor. Not only did I study during my grandmother’s funeral, but I also passed up the heart transplant surgery, even though that was the first matching donor in 3 years.”",appeal to emotion,Relevance Fallacy,really deserve paper professor study grandmother funeral also passed heart transplant surgery even though first matching donor year
"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",appeal to emotion,Relevance Fallacy,everyone lived life exactly like jesus lived life world would beautiful place
I called my friend and he didn't answer. He wasn't home or he was dead.,false dilemma,Presumption Fallacy,called friend didnt answer wasnt home dead
"Senator A: ""We should spend less on our military budget and spend more on health and education.""
Senator B: ""So you want to leave the country defenseless?""",fallacy of extension,Clarity Fallacy,senator spend less military budget spend health education senator b want leave country defenseless
My Aunt was in the hospital for 6 weeks because she didn't wear a seatbelt.,faulty generalization,Presumption Fallacy,aunt hospital week didnt wear seatbelt
"""Trump won't release his tax returns and prove he's clean, therefore he must have something to hide.""",intentional,Clarity Fallacy,trump wont release tax return prove he clean therefore must something hide
"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!",ad hominem,Relevance Fallacy,jack stop smoking bad jill look who talking smoke three pack day
"I. The Ganges river is flooded due to large sheets of ice coming down from the Himalayas.
II. Many people in the Himalayan ranges lost their houses under huge sheets of ice.",false causality,Presumption Fallacy,ganges river flooded due large sheet ice coming himalaya ii many people himalayan range lost house huge sheet ice
If you don't have a recycling bin you hate the earth and don't care about pollution.,fallacy of extension,Clarity Fallacy,dont recycling bin hate earth dont care pollution
"During the first week of July ice cream sales climbed, and during the second week murder rates climbed. Therefore, ice cream inspires murder.",false causality,Presumption Fallacy,first week july ice cream sale climbed second week murder rate climbed therefore ice cream inspires murder
